Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C)
30,2022/07/29 13:16:18,3770.0468,170.0009,1,2,0,0,0,0,1.850166,3.822994,7.073173517004,0.08712027,0.00001932105,0.3322957,0.00007290766,,0.0000908741931198165,,,,,,,,,,,,,,,,,,,,24.79131,0.02291441
31,2022/07/29 13:16:28,3780.0466,180.0007,1,2,0,0,0,0,1.850349,3.823946,7.075634657154,0.09225767,0.00001932105,0.3519387,0.00007290766,,0.0000906523273442872,,,0.190161496400833,,,,,,,,,,,,,,,,,24.76385,-0.008839369
32,2022/07/29 13:16:38,3790.0468,190.0009,1,2,0,0,0,0,1.850388,3.824673,7.077129023124,0.09739703,0.00001932105,0.3715934,0.00007290766,,0.000092502472398337,,,,,,,,,,,,,,,,,,,,24.763,0.000256896
33,2022/07/29 13:16:48,3800.0462,200.0003,1,2,0,0,0,0,1.849678,3.825767,7.076437053026,0.1025348,0.00001932105,0.3912463,0.00007290766,,0.0000678040596540086,,,,,,,,,,,,,,,,,,,,24.74811,0.003005266
34,2022/07/29 13:16:58,3810.0461,210.0002,1,2,0,0,0,0,1.850319,3.826331,7.079932949589,0.1076721,0.00001932105,0.4109012,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.8236,0.02928078
35,2022/07/29 13:17:08,3820.0471,220.0012,1,2,0,0,0,0,1.850296,3.827252,7.081549066592,0.1128111,0.00001932105,0.4305669,0.00007290766,,0.0000562639688723721,,6.20291900634766,,,,,,,,,,,,,,,,,,24.73767,-0.0138104
36,2022/07/29 13:17:18,3830.0474,230.0015,1,2,0,0,0,0,1.850517,3.82792,7.08363103464,0.1179491,0.00001932105,0.4502332,0.00007290766,,0.0000892034513526596,,,,,,,,,,,,,,,,,,,,24.79844,-0.0002038479
37,2022/07/29 13:17:28,3840.0465,240.0006,1,2,0,0,0,0,1.850075,3.828662,7.08331184965,0.1230871,0.00001932105,0.4699032,0.00007290766,,0.00010122440289706,,,,,,,,,,,,,,,,,,,,24.74565,-0.01623988
38,2022/07/29 13:17:38,3850.0474,250.0015,1,2,0,0,0,0,1.850464,3.829484,7.086322280576,0.1282275,0.00001932105,0.4895867,0.00007290766,,0.0000649575231363997,,,,,,,,,,,,,,,,,,,,24.77395,0.002490878
39,2022/07/29 13:17:48,3860.0461,260.0002,1,2,0,0,0,0,1.850311,3.830463,7.087547823993,0.1333647,0.00001932105,0.509262,0.00007290766,,0.0000685141494614072,,,,,,,,,,,,,,,,,,,,24.79446,-0.01080632
40,2022/07/29 13:17:58,3870.0461,270.0002,1,2,0,0,0,0,1.850571,3.831083,7.089691098393,0.1385039,0.00001932105,0.5289487,0.00007290766,,0.000103198697615881,,,,,,,,,,,,,,,,,,,,24.76218,-0.02090275
41,2022/07/29 13:18:08,3880.0469,280.001,1,2,0,0,0,0,1.850548,3.831986,7.091274028328,0.1436435,0.00001932105,0.5486408,0.00007290766,,0.0000794623192632571,,6.49829816818237,,,,,,,,,,,,,,,,,,24.75903,-0.00641942
42,2022/07/29 13:18:18,3890.0472,290.0013,1,2,0,0,0,0,1.850388,3.832372,7.091375160336,0.1487811,0.00001932105,0.5683287,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.72196,0.04210472
43,2022/07/29 13:18:28,3900.0463,300.0004,1,2,0,0,0,0,1.849915,3.833261,7.091207022815,0.1539203,0.00001932105,0.5880263,0.00007290766,,0.0000659810029901564,,,0,,,,,,,,,,,,,,,,,24.74082,-0.006878376
44,2022/07/29 13:18:38,3910.0476,310.0017,1,2,0,0,0,0,1.850479,3.833797,7.094360838763,0.1590594,0.00001932105,0.6077272,0.00007290766,,0.0000473778709420003,,,0.149707198143005,,,,,,,,,,,,,,,,,24.78502,-0.001710057
45,2022/07/29 13:18:48,3920.0474,320.0015,1,2,0,0,0,0,1.849808,3.834321,7.092757660368,0.1641953,0.00001932105,0.6274185,0.00007290766,,0.0000785910669947043,,,,,,,,,,,,,,,,,,,,24.79299,0.0009918213
46,2022/07/29 13:18:58,3930.046,330.0001,1,2,0,0,0,0,1.849915,3.834959,7.094348178485,0.1693357,0.00001932105,0.6471307,0.00007290766,,0.0000744008502806537,,,,,,,,,,,,,,,,,,,,24.76683,0.008332729
47,2022/07/29 13:19:08,3940.046,340.0001,1,2,0,0,0,0,1.85006,3.835482,7.09587182892,0.1744727,0.00001932105,0.6668326,0.00007290766,,0.0000413294110330753,,,,,,,,,,,,,,,,,,,,24.77395,0.01526535
48,2022/07/29 13:19:18,3950.0462,350.0003,1,2,0,0,0,0,1.849876,3.836113,7.096333371988,0.1796121,0.00001932105,0.6865463,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.80539,-0.01401663
49,2022/07/29 13:19:28,3960.0464,360.0005,1,2,0,0,0,0,1.850121,3.836505,7.097998467105,0.1847494,0.00001932105,0.706255,0.00007290766,,0.0000236664291151101,,8.40553665161133,,,,,,,,,,,,,,,,,,24.77707,0.01008928
50,2022/07/29 13:19:38,3970.0474,370.0015,1,2,0,0,0,0,1.850204,3.837203,7.099608339412,0.1898892,0.00001932105,0.7259756,0.00007290766,,0.0000577306709601544,,,,,,,,,,,,,,,,,,,,24.79364,0.007924438
51,2022/07/29 13:19:48,3980.0472,380.0013,1,2,0,0,0,0,1.850571,3.837571,7.101697603041,0.1950268,0.00001932105,0.7456904,0.00007290766,,0.0000734939094400033,,,,,,,,,,,,,,,,,,,,24.77228,-0.003875494
52,2022/07/29 13:19:58,3990.0474,390.0015,1,2,0,0,0,0,1.850204,3.838172,7.101401187088,0.200165,0.00001932105,0.7654098,0.00007290766,,0.0000465411285404116,,,,,,,,,,,,,,,,,,,,24.76598,0.005893111
53,2022/07/29 13:20:08,4000.0467,400.0008,1,2,0,0,0,0,1.850311,3.838492,7.102403971012,0.2053041,0.00001932105,0.7851351,0.00007290766,,0.0000239842993323691,,,,,,,,,,,,,,,,,,,,24.75654,-0.02167284
54,2022/07/29 13:20:18,4010.0459,410,1,2,0,0,0,0,1.850456,3.839107,7.104098582792,0.2104412,0.00001932105,0.804855,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.7423,0.04335701
55,2022/07/29 13:20:28,4020.0469,420.001,1,2,0,0,0,0,1.850403,3.83934,7.10432625402,0.2155804,0.00001932105,0.8245853,0.00007290766,,0.0000400258613808546,,,,,,,,,,,,,,,,,,,,24.75886,-0.004449487
56,2022/07/29 13:20:38,4030.0471,430.0012,1,2,0,0,0,0,1.850204,3.839867,7.104537282868,0.2207197,0.00001932105,0.8443177,0.00007290766,,0.0000567028182558715,,,0,,,,,,,,,,,,,,,,,24.80059,0.005381703
57,2022/07/29 13:20:48,4040.0472,440.0013,1,2,0,0,0,0,1.850166,3.840032,7.104696645312,0.2258563,0.00001932105,0.8640424,0.00007290766,,0.0000651561567792669,,,,,,,,,,,,,,,,,,,,24.78882,-0.0007265806
58,2022/07/29 13:20:58,4050.0462,450.0003,1,2,0,0,0,0,1.850388,3.840694,7.106774089272,0.2309954,0.00001932105,0.883779,0.00007290766,,0.0000429867795901373,,,,,,,,,,,,,,,,,,,,24.74859,-0.02829731
59,2022/07/29 13:21:08,4060.0474,460.0015,1,2,0,0,0,0,1.850227,3.841056,7.106825519712,0.2361328,0.00001932105,0.9035109,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.83436,0.006103516
60,2022/07/29 13:21:18,4070.0466,470.0007,1,2,0,0,0,0,1.850082,3.841376,7.106860592832,0.241271,0.00001932105,0.9232481,0.00007290766,,0.0000243405193032231,,,,,,,,,,,,,,,,,,,,24.76979,-0.01401544
61,2022/07/29 13:21:28,4080.0476,480.0017,1,2,0,0,0,0,1.849976,3.841864,7.107356195264,0.2464088,0.00001932105,0.942986,0.00007290766,,0.0000591863317822572,,11.7903699874878,,,,,,,,,,,,,,,,,,24.8085,-0.003679991
62,2022/07/29 13:21:38,4090.047,490.0011,1,2,0,0,0,0,1.850227,3.842186,7.108916276222,0.2515475,0.00001932105,0.9627293,0.00007290766,,0.0000399096388719045,,,,,,,,,,,,,,,,,,,,24.79994,-0.01225173
63,2022/07/29 13:21:48,4100.047,500.0011,1,2,0,0,0,0,1.850479,3.842846,7.111105823234,0.2566865,0.00001932105,0.9824758,0.00007290766,,0.000029555119908764,,,,,,,,,,,,,,,,,,,,24.79364,0.009145737
64,2022/07/29 13:21:58,4110.047,510.0011,1,2,0,0,0,0,1.850044,3.842921,7.109572938524,0.2618254,0.00001932105,1.002224,0.00007290766,,0.0000139073699756409,,,,,,,,,,,,,,,,,,,,24.81018,0.01453757
65,2022/07/29 13:22:08,4120.0463,520.0004,1,2,0,0,0,0,1.849915,3.843619,7.110368442385,0.2669629,0.00001932105,1.021969,0.00007290766,,,,,0.0905343666672707,,,,,,,,,,,,,,,,,24.84013,0.01866877
66,2022/07/29 13:22:18,4130.0475,530.0016,1,2,0,0,0,0,1.85006,3.843854,7.11136053124,0.2721021,0.00001932105,1.041723,0.00007290766,,0.0000572917415411212,,,,,,,,,,,,,,,,,,,,24.83997,0.01055002
67,2022/07/29 13:22:28,4140.046,540.0001,1,2,0,0,0,0,1.849731,3.844448,7.111194643488,0.2772407,0.00001932105,1.061476,0.00007290766,,0.0000464276017737575,,,,,,,,,,,,,,,,,,,,24.79463,0.006984472
68,2022/07/29 13:22:38,4150.0461,550.0002,1,2,0,0,0,0,1.849953,3.844606,7.112340403518,0.2823783,0.00001932105,1.081227,0.00007290766,,0.0000794636434875429,,,,,,,,,,,,,,,,,,,,24.79364,0.008590221
69,2022/07/29 13:22:48,4160.046,560.0001,1,2,0,0,0,0,1.85051,3.845226,7.11562916526,0.2875175,0.00001932105,1.100988,0.00007290766,,0.0000250503198913066,,,,,,,,,,,,,,,,,,,,24.79844,-0.004910231
70,2022/07/29 13:22:58,4170.0461,570.0002,1,2,0,0,0,0,1.850403,3.845549,7.115815406247,0.292656,0.00001932105,1.120747,0.00007290766,,0.0000527101510670036,,,,,,,,,,,,,,,,,,,,24.73472,-0.02705455
71,2022/07/29 13:23:08,4180.0463,580.0004,1,2,0,0,0,0,1.850121,3.846047,7.115652321687,0.2977942,0.00001932105,1.140507,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.73387,-0.03052056
72,2022/07/29 13:23:18,4190.0471,590.0012,1,2,0,0,0,0,1.849976,3.846233,7.115438740408,0.3029332,0.00001932105,1.160272,0.00007290766,,0.0000349662695953157,,,,,,,,,,,,,,,,,,,,24.79844,0.004396439
73,2022/07/29 13:23:28,4200.0472,600.0013,1,2,0,0,0,0,1.850403,3.846737,7.118013685011,0.3080725,0.00001932105,1.180041,0.00007290766,,0.0000437396411143709,,12.5608501434326,,,,,,,,,,,,,,,,,,24.78252,-0.0009930134
74,2022/07/29 13:23:38,4210.0473,610.0014,1,2,0,0,0,0,1.850113,3.847257,7.117860190041,0.3132118,0.00001932105,1.199812,0.00007290766,,0.0000278161296591861,,,,,,,,,,,,,,,,,,,,24.83784,0.0155127
75,2022/07/29 13:23:48,4220.0474,620.0015,1,2,0,0,0,0,1.849701,3.847368,7.116480436968,0.3183486,0.00001932105,1.219575,0.00007290766,,0.0000215752697840799,,,,,,,,,,,,,,,,,,,,24.80621,-0.0001943111
76,2022/07/29 13:23:58,4230.047,630.0011,1,2,0,0,0,0,1.850403,3.848193,7.120707871779,0.3234883,0.00001932105,1.239352,0.00007290766,,0.0000476489512948319,,,,,,,,,,,,,,,,,,,,24.88747,0.03305376
77,2022/07/29 13:24:08,4240.046,640.0001,1,2,0,0,0,0,1.849876,3.848457,7.119168241332,0.3286234,0.00001932105,1.259113,0.00007290766,,,,,0,,,,,,,,,,,,,,,,,24.79926,0.006471276
78,2022/07/29 13:24:18,4250.0471,650.0012,1,2,0,0,0,0,1.849915,3.848837,7.120021298855,0.3337634,0.00001932105,1.278895,0.00007290766,,0.0000608518093940802,,,,,,,,,,,,,,,,,,,,24.79381,-0.01225114
79,2022/07/29 13:24:28,4260.0474,660.0015,1,2,0,0,0,0,1.850121,3.849134,7.121363645214,0.3389011,0.00001932105,1.298671,0.00007290766,,0.0000326354493154213,,,,,,,,,,,,,,,,,,,,24.78187,-0.002429485
80,2022/07/29 13:24:38,4270.0474,670.0015,1,2,0,0,0,0,1.850571,3.849673,7.124093213283,0.3440394,0.00001932105,1.31845,0.00007290766,,0.000017345859305351,,,,,,,,,,,,,,,,,,,,24.77773,0.004191995
81,2022/07/29 13:24:48,4280.0473,680.0014,1,2,0,0,0,0,1.850441,3.850041,7.124273718081,0.3491787,0.00001932105,1.338236,0.00007290766,,0.0000391957801184617,,,,,,,,,,,,,,,,,,,,24.85256,0.01696765
82,2022/07/29 13:24:58,4290.046,690.0001,1,2,0,0,0,0,1.850243,3.850669,7.124673362567,0.3543151,0.00001932105,1.358014,0.00007290766,,0.0000723516423022375,,,,,,,,,,,,,,,,,,,,24.81877,0.01303017
83,2022/07/29 13:25:08,4300.046,700.0001,1,2,0,0,0,0,1.850098,3.850938,7.124612691924,0.3594531,0.00001932105,1.377799,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.80539,0.001506805
84,2022/07/29 13:25:18,4310.0468,710.0009,1,2,0,0,0,0,1.849716,3.851486,7.124155277976,0.3645931,0.00001932105,1.397595,0.00007290766,,0.0000328722417179961,,,,,,,,,,,,,,,,,,,,24.81398,-0.0007808208
85,2022/07/29 13:25:28,4320.0465,720.0006,1,2,0,0,0,0,1.850365,3.851828,7.12728771722,0.3697308,0.00001932105,1.417384,0.00007290766,,0.0000332311392412521,,12.0154600143433,,,,,,,,,,,,,,,,,,24.78502,-0.02384484
86,2022/07/29 13:25:38,4330.0472,730.0013,1,2,0,0,0,0,1.850044,3.852541,7.127370361804,0.3748693,0.00001932105,1.437178,0.00007290766,,0.0000661779922666028,,,,,,,,,,,,,,,,,,,,24.8173,0.006675124
87,2022/07/29 13:25:48,4340.0472,740.0013,1,2,0,0,0,0,1.850029,3.852625,7.127467976125,0.3800083,0.00001932105,1.456976,0.00007290766,,0.0000605732093390543,,,,,,,,,,,,,,,,,,,,24.85338,0
88,2022/07/29 13:25:58,4350.0474,750.0015,1,2,0,0,0,0,1.850006,3.853437,7.128881570622,0.3851476,0.00001932105,1.476778,0.00007290766,,0.0000386843603337184,,,,,,,,,,,,,,,,,,,,24.79909,-0.001497865
89,2022/07/29 13:26:08,4360.0476,760.0017,1,2,0,0,0,0,1.850372,3.853552,7.130504721344,0.3902858,0.00001932105,1.496578,0.00007290766,,,,,0.0829095020890236,,,,,,,,,,,,,,,,,24.84643,0.00962615
90,2022/07/29 13:26:18,4370.0459,770,1,2,0,0,0,0,1.85022,3.854169,7.13106056718,0.3954236,0.00001932105,1.516379,0.00007290766,,0.0000450834195362404,,,,,,,,,,,,,,,,,,,,24.8173,-0.00590384
91,2022/07/29 13:26:28,4380.0461,780.0002,1,2,0,0,0,0,1.849808,3.854775,7.1305936332,0.4005613,0.00001932105,1.536182,0.00007290766,,0.0000459105103800539,,,,,,,,,,,,,,,,,,,,24.87012,0.0056988
92,2022/07/29 13:26:38,4390.0472,790.0013,1,2,0,0,0,0,1.850113,3.85495,7.13209310935,0.4057007,0.00001932105,1.555993,0.00007290766,,0.0000400643693865277,,,,,,,,,,,,,,,,,,,,24.79975,0.01428306
93,2022/07/29 13:26:48,4400.0472,800.0013,1,2,0,0,0,0,1.850426,3.855787,7.134848515262,0.4108383,0.00001932105,1.575801,0.00007290766,,0.0000633791423751973,,,,,,,,,,,,,,,,,,,,24.80539,-0.005381703
94,2022/07/29 13:26:58,4410.0472,810.0013,1,2,0,0,0,0,1.850624,3.855866,7.135758160384,0.4159769,0.00001932105,1.595614,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.86762,0.001763105
95,2022/07/29 13:27:08,4420.0476,820.0017,1,2,0,0,0,0,1.850075,3.856605,7.135008495375,0.4211154,0.00001932105,1.61543,0.00007290766,,0.0000386056599381845,,,,,,,,,,,,,,,,,,,,24.89131,-0.02554953
96,2022/07/29 13:27:18,4430.046,830.0001,1,2,0,0,0,0,1.849594,3.856864,7.133632513216,0.4262525,0.00001932105,1.635242,0.00007290766,,0.0000391170797229279,,11.2274703979492,,,,,,,,,,,,,,,,,,24.78403,-0.003198981
97,2022/07/29 13:27:28,4440.0467,840.0008,1,2,0,0,0,0,1.85041,3.857591,7.13812496231,0.4313909,0.00001932105,1.655062,0.00007290766,,0.0000615169265074655,,,,,,,,,,,,,,,,,,,,24.84476,0.001230836
98,2022/07/29 13:27:38,4450.0469,850.001,1,2,0,0,0,0,1.850151,3.857916,7.137727145316,0.4365293,0.00001932105,1.674884,0.00007290766,,0.0000648026907583699,,,,,,,,,,,,,,,,,,,,24.83006,0.01277268
99,2022/07/29 13:27:48,4460.047,860.0011,1,2,0,0,0,0,1.85006,3.858521,7.13849536126,0.4416665,0.00001932105,1.694704,0.00007290766,,0.0000518756496603601,,,,,,,,,,,,,,,,,,,,24.86066,0.008898973
100,2022/07/29 13:27:58,4470.0471,870.0012,1,2,0,0,0,0,1.850266,3.858898,7.139987766868,0.4468055,0.00001932105,1.714534,0.00007290766,,,,,,,,,,,,,,,,,,,,,,24.85736,-0.0130403
101,2022/07/29 13:28:08,4480.0471,880.0012,1,2,0,0,0,0,1.850464,3.859591,7.142034200224,0.4519439,0.00001932105,1.734364,0.00007290766,,0.0000489991907670628,,,0,,,,,,,,,,,,,,,,,24.83849,-0.005947948
102,2022/07/29 13:28:18,4490.0474,890.0015,1,2,0,0,0,0,1.850372,3.859881,7.142215725732,0.4570837,0.00001932105,1.754201,0.00007290766,,0.0000497425608045887,,,,,,,,,,,,,,,,,,,,24.89777,0.003526211
103,2022/07/29 13:28:28,4500.0466,900.0007,1,2,0,0,0,0,1.850319,3.860456,7.143075085464,0.46222,0.00001932105,1.774028,0.00007290766,,0.0000541748195246328,,,,,,,,,,,,,,,,,,,,24.87012,0.02141595
104,2022/07/29 13:28:38,4510.0469,910.001,1,2,0,0,0,0,1.850494,3.860779,7.144348374826,0.4673598,0.00001932105,1.793871,0.00007290766,,0.0000198349607671844,,,,,,,,,,,,,,,,,,,,24.83386,0.008119345
105,2022/07/29 13:28:48,4520.046,920.0001,1,2,0,0,0,0,1.85051,3.861495,7.14573511245,0.472497,0.00001932105,1.813706,0.00007290766,,0.0000341365594067611,,,,,,,,,,,,,,,,,,,,24.84266,-0.0174278
106,2022/07/29 13:28:58,4530.0469,930.001,1,2,0,0,0,0,1.85041,3.86179,7.1458948339,0.4776355,0.00001932105,1.833549,0.00007290766,,,,10.500599861145,,,,,,,,,,,,,,,,,,24.89209,0.006611943
107,2022/07/29 13:29:08,4540.0462,940.0003,1,2,0,0,0,0,1.850006,3.862288,7.145255973728,0.4827728,0.00001932105,1.85339,0.00007290766,,0.0000642115774098784,,,,,,,,,,,,,,,,,,,,24.85207,-0.01505911
108,2022/07/29 13:29:18,4550.0471,950.0012,1,2,0,0,0,0,1.850365,3.86285,7.14768244025,0.4879132,0.00001932105,1.873245,0.00007290766,,0.000078668788773939,,,,,,,,,,,,,,,,,,,,24.87956,-0.008366108
109,2022/07/29 13:29:28,4560.0473,960.0014,1,2,0,0,0,0,1.850365,3.863281,7.148479947565,0.4930505,0.00001932105,1.893091,0.00007290766,,0.0000713189292582683,,,,,,,,,,,,,,,,,,,,24.89675,0.01173615
