Data Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power (W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge Energy (Wh),Discharge_Energy(Wh),Capacity (Ah),mAh/g,ACR (Ohm),dV/dt (V/s),Internal_Resistance(Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1 (C/s),Aux_Temperature_2 (C),Aux_dT/dt_2 (C/s),Aux_Temperature_3 (C),Aux_dT/dt_3 (C/s),Time,Date,Force1,Force2,Force,Pressure
56,2023/06/06 12:51:03,4001.6884,190.0016,1,5,0,0,0,0,-2.749161,4.15073,-11.41102503753,2.950061e-7,0.1450894,1.23977e-6,0.6042455,0.1450894,1.24008034188034,,-0.0001150818,,5.648369,,,,,,,,,,,26.7320398601951,0.130725170472879,26.7064462746306,0.317687131509728,26.6564728165038,0.547727703671598,12:51:03,2023/06/06,88.03,94.49,182.52,34.792885872776836
60,2023/06/06 12:51:43,4041.6873,230.0005,1,5,0,0,0,0,-2.750626,4.14487,-11.40098718862,2.950061e-7,0.1756434,1.23977e-6,0.7309802,0.1756434,1.50122564102564,,-9.128065e-5,,5.466726,0.1840604,,,,,,,,,,26.55487,-0.1257737,26.63943,-0.009703015,26.73233,0.2334184,12:51:43,2023/06/06,86.95,92.33,179.28,34.17526067976897
63,2023/06/06 12:52:13,4071.6883,260.0015,1,5,0,0,0,0,-2.750298,4.141195,-11.38952032611,2.950061e-7,0.1985586,1.23977e-6,0.8259212,0.1985586,1.69708205128205,,-0.0002181918,,,,,,,,,,,,,26.75435,0.1045097,26.33072,-0.2091468,26.16182,-0.4181321,12:52:13,2023/06/06,86.18,90.68,176.86,33.713948035608766
64,2023/06/06 12:52:23,4081.6884,270.0016,1,5,0,0,0,0,-2.750565,4.139652,-11.38638190338,2.950061e-7,0.2061947,1.23977e-6,0.8575379,0.2061947,1.76234786324786,,-0.0002131189,,5.63682,,,,,,,,,,,26.62506,-0.1008331,26.57816,0.2089888,26.71374,0.5196245,12:52:23,2023/06/06,85.9,90.14,176.04,33.55763548676109
67,2023/06/06 12:52:53,4111.6872,300.0004,1,5,0,0,0,0,-2.750694,4.135879,-11.376537550026,2.950061e-7,0.2291092,1.23977e-6,0.9523521,0.2291092,1.95819829059829,,-0.000169731,,5.852064,0.1746241,,,,,,,,,,27.1352173474334,0.485382703408422,26.7970896534122,0.226164581920935,26.6202317419732,-0.0863398658076915,12:52:53,2023/06/06,85.13,88.55,173.69,33.109666596770815
68,2023/06/06 12:53:03,4121.6882,310.0014,1,5,0,0,0,0,-2.750374,4.134244,-11.370717207256,2.950061e-7,0.2367491,1.23977e-6,0.9839438,0.2367491,2.02349658119658,,-0.0001260074,,,,,,,,,,,,,27.0771387362727,0.558954033210856,26.6039730657275,0.42102798521588,26.3778175051308,0.240459570136795,12:53:03,2023/06/06,84.88,88.04,172.92,32.96288530090166
71,2023/06/06 12:53:33,4151.687,340.0002,1,5,0,0,0,0,-2.750473,4.130701,-11.361381571573,2.950061e-7,0.2596639,1.23977e-6,1.078636,0.2596639,2.21934957264957,,-0.000107954,,5.594033,,,,,,,,,,,26.8999769536072,-0.29379505992537,26.7962144180353,0.119495274903283,26.8674646192354,0.434369086702369,12:53:33,2023/06/06,84.12,86.42,170.54,32.50919765912427
72,2023/06/06 12:53:43,4161.6869,350.0001,1,5,0,0,0,0,-2.750511,4.128935,-11.356681135785,2.950061e-7,0.2673049,1.23977e-6,1.110192,0.2673049,2.28465726495727,,-9.109806e-5,,,,,,,,,,,,,26.8959954577784,0.00629536303464845,26.799327959287,0.279690578410609,26.8705752613461,0.50845866044254,12:53:43,2023/06/06,83.86,85.95,169.81,32.37004136563793
73,2023/06/06 12:53:53,4171.6872,360.0004,1,5,0,0,0,0,-2.750587,4.127604,-11.353333903548,2.950061e-7,0.2749444,1.23977e-6,1.14173,0.2749444,2.34995213675214,,-0.0001412375,,,,,,,,,,,,,27.1365653995392,0.413927894712243,26.7842197595359,0.325428823581708,26.6782904123056,0.136262012249249,12:53:53,2023/06/06,83.67,85.44,169.11,32.2366038239387
76,2023/06/06 12:54:23,4201.6881,390.0013,1,5,0,0,0,0,-2.750664,4.123747,-11.343042418008,2.950061e-7,0.2978601,1.23977e-6,1.236274,0.2978601,2.54581282051282,,-0.0001503237,,,,,,,,,,,,,26.98341,0.4839542,26.78731,0.5160635,26.80188,0.4671274,12:54:23,2023/06/06,82.85,83.88,166.73,31.78291618216131
77,2023/06/06 12:54:33,4211.6869,400.0001,1,5,0,0,0,0,-2.750656,4.122083,-11.338432336448,2.950061e-7,0.3054965,1.23977e-6,1.26776,0.3054965,2.6110811965812,,-0.0001089462,,,,,,,,,,,,,26.97366,-0.203799,26.80597,0.1682749,26.81341,0.5112481,12:54:33,2023/06/06,82.59,83.41,166.0,31.643759888674968
80,2023/06/06 12:55:03,4241.6878,430.001,1,5,0,0,0,0,-2.750702,4.118585,-11.32899999667,2.950061e-7,0.3284116,1.23977e-6,1.36218,0.3284116,2.80693675213675,,-0.000172243,,,,,,,,,,,,,27.2027,0.3630843,26.80067,0.5059457,26.67344,0.6654435,12:55:03,2023/06/06,81.86,81.85,163.71,31.207228502258914
81,2023/06/06 12:55:13,4251.688,440.0012,1,5,0,0,0,0,-2.750435,4.116996,-11.32352989326,2.950061e-7,0.336052,1.23977e-6,1.393641,0.336052,2.87223931623932,,-8.107836e-5,,,,,,,,,,,,,27.085110886561,0.242498515876106,26.8464083866194,0.408642609383059,26.8325007745364,0.528143884813328,12:55:13,2023/06/06,81.61,81.37,162.98,31.068072208772566
84,2023/06/06 12:55:43,4281.6882,470.0014,1,5,0,0,0,0,-2.75045,4.113178,-11.3130904301,2.950061e-7,0.3589688,1.23977e-6,1.487947,0.3589688,3.0681094017094,,-0.0001217579,,,,,,,,,,,,,26.63887,-0.3997552,26.39293,-0.242301,26.48643,-0.08297736,12:55:43,2023/06/06,80.85,79.88,160.72,30.63725957414362
85,2023/06/06 12:55:53,4291.6883,480.0015,1,5,0,0,0,0,-2.750618,4.11158,-11.30938595644,2.950061e-7,0.3666077,1.23977e-6,1.519362,0.3666077,3.13339914529915,,-8.893896e-5,,,,,,,,,,,,,26.5713069042619,-0.430310599428767,26.3395734400544,-0.11182677088525,26.3693496967923,0.14841198502171,12:55:53,2023/06/06,80.56,79.34,159.9,30.48094702529595
86,2023/06/06 12:56:03,4301.6879,490.0011,1,5,0,0,0,0,-2.750259,4.110952,-11.306182736568,2.950061e-7,0.3742483,1.23977e-6,1.550773,0.3742483,3.19870341880342,,-0.0001092415,,,,,,,,,,,,,26.79562,0.2992177,26.32934,0.009369857,26.09657,-0.4427901,12:56:03,2023/06/06,80.37,78.93,159.29,30.364665738958042
89,2023/06/06 12:56:33,4331.6874,520.0006,1,5,0,0,0,0,-2.751152,4.106684,-11.298111899968,2.950061e-7,0.3971647,1.23977e-6,1.644927,0.3971647,3.39457008547009,,-0.0002098507,,,,,,,,,,,,,27.0420709340792,-0.155314855852177,26.8530839020766,0.256542184062552,26.8675079052593,0.549651129245754,12:56:33,2023/06/06,79.64,77.46,157.1,29.94719685849902
90,2023/06/06 12:56:43,4341.6883,530.0015,1,5,0,0,0,0,-2.75058,4.105461,-11.29239891738,2.950061e-7,0.4048045,1.23977e-6,1.676295,0.4048045,3.45986752136752,,-0.0001152341,,,0.1719749,,,,,,,,,,26.86757,-0.05055198,26.69987,0.2097573,26.85641,0.4946957,12:56:43,2023/06/06,79.42,76.96,156.37,29.808040565012682
91,2023/06/06 12:56:53,4351.6883,540.0015,1,5,0,0,0,0,-2.751114,4.103666,-11.289652983924,2.950061e-7,0.4124414,1.23977e-6,1.707641,0.4124414,3.52514017094017,,-0.0001275042,,6.068495,,,,,,,,,,,26.9621305546386,0.332848589185379,26.7660248816641,0.485829900664298,26.8515263092129,0.527088377798228,12:56:53,2023/06/06,79.13,76.54,155.67,29.674603023313445
94,2023/06/06 12:57:23,4381.687,570.0002,1,5,0,0,0,0,-2.750473,4.100165,-11.277393128045,2.950061e-7,0.435358,1.23977e-6,1.801645,0.435358,3.72100854700855,,-9.291893e-5,,5.591123,,,,,,,,,,,26.7889469739952,0.240542169335653,26.6780822636487,0.525272330539835,26.7850614901507,0.704822097171763,12:57:23,2023/06/06,78.4,75.05,153.45,29.251415391067308
95,2023/06/06 12:57:33,4391.6871,580.0003,1,5,0,0,0,0,-2.751137,4.099076,-11.277119649412,2.950061e-7,0.4429996,1.23977e-6,1.83297,0.4429996,3.78632136752137,,-0.0001105335,,,,,,,,,,,,,26.60909,-0.3759545,26.32049,-0.518981,26.34321,-0.6694606,12:57:33,2023/06/06,78.18,74.6,152.78,29.123696601155192
96,2023/06/06 12:57:43,4401.6882,590.0014,1,5,0,0,0,0,-2.750496,4.097589,-11.270402154144,2.950061e-7,0.4506398,1.23977e-6,1.864281,0.4506398,3.85162222222222,,-0.000181556,,,,,,,,,,,,,27.00793,0.163379,26.43519,-0.1355581,26.20223,-0.3846663,12:57:43,2023/06/06,77.99,74.19,152.18,29.009321565412993
99,2023/06/06 12:58:13,4431.6884,620.0016,1,5,0,0,0,0,-2.751328,4.093682,-11.263061909696,2.950061e-7,0.4735576,1.23977e-6,1.958141,0.4735576,4.04750085470086,,-0.000120369,,,,,,,,,,,,,26.8178708978641,-0.300286562749189,26.6217408782338,-0.0454183939563628,26.7501177559737,0.225008860121723,12:58:13,2023/06/06,77.22,72.76,149.98,28.58994643435826
100,2023/06/06 12:58:23,4441.6876,630.0008,1,5,0,0,0,0,-2.751518,4.092099,-11.259484056282,2.950061e-7,0.4811958,1.23977e-6,1.989403,0.4811958,4.11278461538462,,-0.0003106793,,,,,,,,,,,,,26.6170759650762,-0.456605002922547,26.3213654240068,-0.226751449081753,26.3298931634318,0.115065906519399,12:58:23,2023/06/06,77.03,72.28,149.32,28.464133895041844
103,2023/06/06 12:58:53,4471.6879,660.0011,1,5,0,0,0,0,-2.751038,4.088838,-11.248548713844,2.950061e-7,0.5041226,1.23977e-6,2.083182,0.5041226,4.30874017094017,,-0.0001206636,,,,,,,,,,,,,27.1747760212346,0.190734953991625,26.623509169823,-0.111711811594951,26.3405753347428,-0.496782661177818,12:58:53,2023/06/06,76.3,70.95,147.25,28.06954002173126
104,2023/06/06 12:59:03,4481.6882,670.0014,1,5,0,0,0,0,-2.751343,4.086766,-11.244095026738,2.950061e-7,0.5117614,1.23977e-6,2.114408,0.5117614,4.37402905982906,,-7.50738e-5,,,,,,,,,,,,,27.20716,0.26363,26.86906,0.5782268,26.70625,0.7511404,12:59:03,2023/06/06,76.05,70.54,146.58,27.94182123181914
107,2023/06/06 12:59:33,4511.6877,700.0009,1,5,0,0,0,0,-2.751556,4.083255,-11.23530479478,2.950061e-7,0.5346842,1.23977e-6,2.208054,0.5346842,4.56995042735043,,-0.0001205675,,,,,,,,,,,,,26.7712871455736,-0.538596646140145,26.6462018556628,-0.320393561029755,26.753265546719,-0.0522336983498595,12:59:33,2023/06/06,75.32,69.17,144.49,27.54341485731715
108,2023/06/06 12:59:43,4521.6878,710.001,1,5,0,0,0,0,-2.751343,4.082416,-11.232126684688,2.950061e-7,0.5423264,1.23977e-6,2.239255,0.5423264,4.63526837606838,,-0.0001281776,,,,,,,,,,,,,26.64732,-0.3791241,26.27339,-0.410086,26.19688,-0.4049487,12:59:43,2023/06/06,75.09,68.73,143.82,27.41569606740502
112,2023/06/06 13:00:23,4561.6873,750.0005,1,5,0,0,0,0,-2.751579,4.077276,-11.218947018804,2.950061e-7,0.5728911,1.23977e-6,2.363952,0.5728911,4.89650512820513,,-0.0001055103,,,,,,,,,,,,,27.0390548657771,-0.305179066654851,26.4805619100398,-0.508104147502687,26.2049506778123,-0.649937627686259,13:00:23,2023/06/06,74.21,67.04,141.25,26.92578966430927
113,2023/06/06 13:00:33,4571.6876,760.0008,1,5,0,0,0,0,-2.751099,4.076063,-11.213652843237,2.950061e-7,0.580529,1.23977e-6,2.39509,0.580529,4.96178632478633,,-0.0001714222,,,,,,,,,,,,,27.2058194670853,0.111199921693326,26.8890244673416,0.442902930782011,26.7828814037476,0.725118372392668,13:00:33,2023/06/06,73.98,66.66,140.64,26.80950837797137
116,2023/06/06 13:01:03,4601.6878,790.001,1,5,0,0,0,0,-2.751175,4.072886,-11.20522214105,2.950061e-7,0.603456,1.23977e-6,2.488505,0.603456,5.15774358974359,,-0.0001144089,,,,,,,,,,,,,26.94129,0.3682719,26.41826,0.04612523,26.11435,-0.4113192,13:01:03,2023/06/06,73.28,65.42,138.71,26.441602013000633
117,2023/06/06 13:01:13,4611.6878,800.001,1,5,0,0,0,0,-2.751701,4.071427,-11.203349747327,2.950061e-7,0.6110947,1.23977e-6,2.519611,0.6110947,5.22303162393162,,-8.915968e-5,,,,,,,,,,,,,27.0251818850802,0.0321832305980931,26.829082195489,0.303298047397192,26.8435634170943,0.478960134739459,13:01:13,2023/06/06,73.09,65.07,138.17,26.338664480832648
120,2023/06/06 13:01:43,4641.6884,830.0016,1,5,0,0,0,0,-2.750969,4.068701,-11.192870321269,2.950061e-7,0.634018,1.23977e-6,2.612912,0.634018,5.41895726495726,,-7.506882e-5,,,,,,,,,,,,,26.64638,-0.4460065,26.3009,-0.3571627,26.24562,-0.2477117,13:01:43,2023/06/06,72.39,63.86,136.26,25.97457061705332
121,2023/06/06 13:01:53,4651.6876,840.0008,1,5,0,0,0,0,-2.751213,4.06755,-11.19069643815,2.950061e-7,0.6416602,1.23977e-6,2.644001,0.6416602,5.48427521367521,,-0.0001280263,,,,,,,,,,,,,26.8809447672018,0.381753213039284,26.7345575832432,0.664160647193606,26.7634282779238,0.884960171818126,13:01:53,2023/06/06,72.17,63.55,135.72,25.87163308488534
124,2023/06/06 13:02:23,4681.6878,870.001,1,5,0,0,0,0,-2.751617,4.064591,-11.184197693647,2.950061e-7,0.6645823,1.23977e-6,2.737211,0.6645823,5.6801905982906,,,,,,,,,,,,,,,27.3412,0.1549643,26.91084,-0.3177051,26.67706,-0.7321007,13:02:23,2023/06/06,71.6,62.4,134.0,25.543757982424374
125,2023/06/06 13:02:33,4691.6879,880.0011,1,5,0,0,0,0,-2.751404,4.06459,-11.18332918436,2.950061e-7,0.6722235,1.23977e-6,2.768271,0.6722235,5.7455,,-8.804649e-5,,8.454477,,,,,,,,,,,27.1246721939429,-0.200632115687003,26.9214915164107,0.260894771100317,26.9711941869834,0.673743375591124,13:02:33,2023/06/06,71.44,62.12,133.56,25.459882956213427
128,2023/06/06 13:03:03,4721.6874,910.0006,1,5,0,0,0,0,-2.75087,4.061841,-11.17359655167,2.950061e-7,0.6951464,1.23977e-6,2.861415,0.6951464,5.94142222222222,,-7.736553e-5,,,,,,,,,,,,,26.9235718456374,-0.652303309242259,26.7629804361348,-0.31134329546024,26.8272259415069,0.113135393960687,13:03:03,2023/06/06,70.84,61.07,131.91,25.145351607922382
129,2023/06/06 13:03:13,4731.6884,920.0016,1,5,0,0,0,0,-2.751045,4.062047,-11.174874089115,2.950061e-7,0.7027894,1.23977e-6,2.892461,0.7027894,6.00674700854701,,-9.750557e-5,,,,,,,,,,,,,26.7388418885715,-0.446203788327447,26.4360693787793,-0.281693493871347,26.3734121210824,-0.126528924348175,13:03:13,2023/06/06,70.61,60.78,131.4,25.04813282754151
130,2023/06/06 13:03:23,4741.6878,930.001,1,5,0,0,0,0,-2.751595,4.060927,-11.174026428565,2.950061e-7,0.7104288,1.23977e-6,2.923489,0.7104288,6.07204102564103,,-6.117603e-5,,,,,,,,,,,,,26.8654,-0.7348118,26.36362,-0.4949333,26.14499,-0.1274115,13:03:23,2023/06/06,70.46,60.5,130.95,24.96235155073486
133,2023/06/06 13:03:53,4771.688,960.0012,1,5,0,0,0,0,-2.751045,4.05957,-11.16805975065,2.950061e-7,0.7333521,1.23977e-6,3.016565,0.7333521,6.26796666666667,,-5.963974e-5,,12.43143,,,,,,,,,,,26.872063937726,-0.652267213319697,26.4058406799936,-0.461623723497539,26.2581035007598,-0.202935314900695,13:03:53,2023/06/06,69.92,59.51,129.43,24.672601460187963
134,2023/06/06 13:04:03,4781.6884,970.0016,1,5,0,0,0,0,-2.751328,4.059002,-11.167645854656,2.950061e-7,0.7409908,1.23977e-6,3.047571,0.7409908,6.3332547008547,,2.682038e-5,,,,,,,,,,,,,26.8214689822346,-0.716307216968108,26.5329274127044,-0.740302404879806,26.5338919575576,-0.639891357502907,13:04:03,2023/06/06,69.76,59.23,128.98,24.586820183381306
137,2023/06/06 13:04:33,4811.6884,1000.0016,1,5,0,0,0,0,-2.751366,4.057123,-11.162630280018,2.950061e-7,0.7639116,1.23977e-6,3.140581,0.7639116,6.52915897435897,,,,,,,,,,,,,,,27.15394,-0.35981,26.93657,0.02004789,26.92955,0.4823613,13:04:33,2023/06/06,69.18,58.3,127.49,24.302788844621514
138,2023/06/06 13:04:43,4821.6874,1010.0006,1,5,0,0,0,0,-2.75148,4.055906,-11.15974424088,2.950061e-7,0.7715547,1.23977e-6,3.171585,0.7715547,6.59448461538462,,-7.437428e-5,,,,,,,,,,,,,27.4277278221507,0.383119693077512,27.0968383019419,0.423900976057006,26.9194260656049,0.414131906517597,13:04:43,2023/06/06,68.99,58.02,127.01,24.211288816027757
142,2023/06/06 13:05:23,4861.6871,1050.0003,1,5,0,0,0,0,-2.751442,4.05231,-11.14969593102,2.950061e-7,0.8021154,1.23977e-6,3.295489,0.8021154,6.85568717948718,,-9.578677e-5,,,,,,,,,,,,,26.89121,-0.2839848,26.57429,0.1992324,26.5397,0.5438257,13:05:23,2023/06/06,68.26,56.81,125.07,23.841476200461315
143,2023/06/06 13:05:33,4871.6874,1060.0006,1,5,0,0,0,0,-2.751427,4.051389,-11.147101082103,2.950061e-7,0.8097576,1.23977e-6,3.326455,0.8097576,6.92100512820513,,-0.0001589696,,,,,,,,,,,,,27.20147,-0.342163,26.99121,0.1525471,26.94864,0.4969121,13:05:33,2023/06/06,68.07,56.53,124.6,23.751882422463257
146,2023/06/06 13:06:03,4901.6875,1090.0007,1,5,0,0,0,0,-2.751404,4.047338,-11.135861962552,2.950061e-7,0.8326811,1.23977e-6,3.419283,0.8326811,7.11693247863248,,-9.860459e-5,,,,,,,,,,,,,26.9391485893007,-0.596548905571947,26.7288284142057,-0.327303932111614,26.7780101769448,0.267876047572387,13:06:03,2023/06/06,67.53,55.54,123.07,23.460226081320652
147,2023/06/06 13:06:13,4911.6869,1100.0001,1,5,0,0,0,0,-2.751305,4.045811,-11.131260033355,2.950061e-7,0.8403239,1.23977e-6,3.450211,0.8403239,7.18225555555555,,-0.0001956412,,,,,,,,,,,,,26.79753,-0.357284,26.45213,-0.2135146,26.91672,0.2906769,13:06:13,2023/06/06,67.31,55.25,122.56,23.363007300939785
150,2023/06/06 13:06:43,4941.6872,1130.0004,1,5,0,0,0,0,-2.751541,4.040427,-11.117400548007,2.950061e-7,0.8632454,1.23977e-6,3.54289,0.8632454,7.37816581196581,,-9.993334e-5,,,,,,,,,,,,,26.9533554226089,-0.0261821205438481,26.9339241960095,-0.0920796152402293,26.6930068067503,-0.556954006484372,13:06:43,2023/06/06,66.61,54.24,120.85,23.037038449074515
151,2023/06/06 13:06:53,4951.688,1140.0012,1,5,0,0,0,0,-2.751503,4.038642,-11.112335578926,2.950061e-7,0.870887,1.23977e-6,3.573757,0.870887,7.44347863247863,,-0.0001776901,,4.175897,,,,,,,,,,,26.8539054191145,0.349919148684816,27.0574122477144,0.7033293650643,26.9438419548244,1.01767984470873,13:06:53,2023/06/06,66.39,53.92,120.31,22.93410091690654
154,2023/06/06 13:07:23,4981.6877,1170.0009,1,5,0,0,0,0,-2.751381,4.031714,-11.092781297034,2.950061e-7,0.8938099,1.23977e-6,3.666253,0.8938099,7.63940085470086,,-0.0001766614,,,,,,,,,,,,,27.44551,0.4405391,26.52414,0.06777308,26.21296,-0.3705843,13:07:23,2023/06/06,65.75,52.84,118.59,22.60622581444557
155,2023/06/06 13:07:33,4991.6871,1180.0003,1,5,0,0,0,0,-2.751274,4.029046,-11.085009504604,2.950061e-7,0.9014487,1.23977e-6,3.69704,0.9014487,7.70468974358974,,-0.0002015719,,3.23148,,,,,,,,,,,26.8916376191343,-0.190801133056268,26.6670880327142,0.0646235885279592,26.7528251063961,0.327171440660237,13:07:33,2023/06/06,65.47,52.46,117.93,22.480413275129152
158,2023/06/06 13:08:03,5021.688,1210.0012,1,5,0,0,0,0,-2.751617,4.021404,-11.065363610268,2.950061e-7,0.924377,1.23977e-6,3.78933,0.924377,7.90065811965812,,-0.0002146687,,,,,,,,,,,,,27.2911290980204,0.32608256697115,26.6902254464325,0.0329831832244585,26.3929763515561,-0.195992571578116,13:08:03,2023/06/06,64.8,51.28,116.08,22.12775691492404
159,2023/06/06 13:08:13,5031.6882,1220.0014,1,5,0,0,0,0,-2.751556,4.01851,-11.05715530156,2.950061e-7,0.9320144,1.23977e-6,3.820032,0.9320144,7.96593504273504,,-0.000262736,,2.841144,,,,,,,,,,,26.77666,-0.3404158,26.48811,0.0786704,26.48918,0.4792783,13:08:13,2023/06/06,64.55,50.93,115.48,22.013381879181843
160,2023/06/06 13:08:23,5041.6875,1230.0007,1,5,0,0,0,0,-2.75161,4.016053,-11.05061159533,2.950061e-7,0.939657,1.23977e-6,3.850734,0.939657,8.03125641025641,,-0.0002427167,,,,,,,,,,,,,26.9867,-0.5448459,26.84032,-0.2057123,26.85478,0.1959345,13:08:23,2023/06/06,64.32,50.49,114.81,21.885663089269716
163,2023/06/06 13:08:53,5071.6881,1260.0013,1,5,0,0,0,0,-2.75106,4.008366,-11.02725536796,2.950061e-7,0.9625803,1.23977e-6,3.942705,0.9625803,8.22718205128205,,-0.000191844,,2.971616,,,,,,,,,,,27.27652,0.5455012,26.72536,0.4064403,26.38549,0.1744786,13:08:53,2023/06/06,63.53,49.22,112.75,21.492975466554835
164,2023/06/06 13:09:03,5081.6882,1270.0014,1,5,0,0,0,0,-2.751503,4.005974,-11.022449478922,2.950061e-7,0.9702223,1.23977e-6,3.973326,0.9702223,8.29249829059829,,-0.0002619911,,,,,,,,,,,,,26.86369,-0.3577741,26.38325,-0.4240105,26.17168,-0.4536886,13:09:03,2023/06/06,63.24,48.77,112.02,21.35381917306849
167,2023/06/06 13:09:33,5111.6883,1300.0015,1,5,0,0,0,0,-2.751305,3.998498,-11.00108753989,2.950061e-7,0.9931446,1.23977e-6,4.065066,0.9931446,8.48841538461538,,-0.0002082837,,3.423298,,,,,,,,,,,27.0094,-0.2281714,26.50775,-0.3454857,26.2108,-0.4847368,13:09:33,2023/06/06,62.45,47.44,109.89,20.94778779618369
